"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38","x39","x40","x41","x42","x43","x44","x45","x46","x47","x48","x49","x50","x51","x52","x53","x54","x55","x56","x57","x58","x59","x60","x61","x62","x63","x64","x65","x66","x67","x68","x69","x70","x71","x72","x73","x74","x75","x76","x77","x78","x79","x80","x81","x82","x83","x84","x85","x86","x87","x88","x89","x90","x91","x92","x93","x94","x95","x96","x97","x98","x99","x100","x101","x102","x103","x104","x105","x106","x107","x108","x109","x110","x111","x112","x113","x114","x115","x116","x117","x118","x119","x120"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,3,5,11,7,19,17,40,19,38,40,69,61,80,91,124,124,135,192,284,339,460,569,802,977,1336,1707,2255,2789,3658,4669,5917,7105,8891,10892,12788,15293,17990,20666,22856,25366,27622,29085,30509,31008,31191,30569,29212,27508,25628,23228,20650,17811,15153,12477,10243,8079,6380,4674,3363,2500,1774,1139,790,483,310,175,100,49,35,16,5,4,2,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,8,4,6,10,17,14,22,27,49,38,60,57,98,95,141,167,234,310,413,516,698,868,1168,1410,1975,2398,3078,4052,4935,6433,7992,9651,11841,14126,16636,19560,22415,24914,27342,29692,31143,31756,31785,31832,30251,28423,26241,23398,20870,17785,15269,12637,10122,8138,6162,4646,3556,2607,1781,1242,833,564,361,201,124,78,40,22,15,4,3,3,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,7,1,1,2,19,4,6,13,39,29,42,48,99,107,149,196,299,379,560,721,1105,1451,2015,2746,3741,5125,6611,9025,11383,14057,17647,21261,25289,28912,32415,35102,37527,37900,37321,35881,33853,30841,27446,23549,19514,15347,12213,9402,6997,5069,3651,2445,1655,1076,647,396,292,149,105,46,29,12,7,7,4,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,3,10,5,10,9,44,26,56,73,118,146,204,301,456,554,809,1070,1530,2061,2715,3649,4754,6267,7792,10024,12673,15083,17982,21404,24324,26974,30417,32414,34162,34327,34690,33328,32093,29556,26508,23469,20198,16705,13677,10869,8409,6218,4557,3228,2163,1465,944,633,368,228,144,59,31,19,14,1,4,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,4,6,19,8,27,18,28,42,58,66,97,106,163,196,260,362,484,564,795,981,1285,1629,2166,2750,3536,4489,5640,6870,8382,10204,12063,14125,16659,18822,20834,23431,25614,27051,28278,28969,28991,28715,27988,26902,25299,23390,21205,19286,16835,14306,12308,10104,8361,6448,4968,3747,2883,1969,1326,893,631,371,246,159,111,63,22,15,8,2,0,0,0,1,0,0,0,0,0,0,0
